,hyp,ref,src,tgt,model,task,labels,label,p(Hallucination),text
44,(obsolete) Very handsome.,tgt,"Should true Proportion ev'ry Mortal grace , / And Semetry be seen in ev'ry Face : / Beauty no longer would be thought divine , / Nor would its Charms with half the Lustre shine : / No courtly Dame a <define> killing </define> Look could boast , / If once the Foils of Homeliness were lost .",(dated) Devastatingly attractive.,,DM,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Should true Proportion ev'ry Mortal grace , / And Semetry be seen in ev'ry Face : / Beauty no longer would be thought divine , / Nor would its Charms with half the Lustre shine : / No courtly Dame a <define> killing </define> Look could boast , / If once the Foils of Homeliness were lost .
Hypothesis: (obsolete) Very handsome.
Target: (dated) Devastatingly attractive.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
45,(anatomy) The act or process of preejection.,tgt,The <define> preejection </define> shortening and relengthening correspond to septal beaking and flash .,Occurring prior to ejection.,,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The <define> preejection </define> shortening and relengthening correspond to septal beaking and flash .
Hypothesis: (anatomy) The act or process of preejection.
Target: Occurring prior to ejection.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
46,"(informal, of a face) Having pimples.",tgt,"He had a nasty face though , the boy considered , and looked like a bounder because he had pimples , a <define> swelly </define> nose , a loud voice , and a swanky manner . The boy disapproved of him wholly .",(informal) Tending to bulge or swell.,,DM,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: He had a nasty face though , the boy considered , and looked like a bounder because he had pimples , a <define> swelly </define> nose , a loud voice , and a swanky manner . The boy disapproved of him wholly .
Hypothesis: (informal, of a face) Having pimples.
Target: (informal) Tending to bulge or swell.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
47,(slang) A contemptible person.,tgt,"ELYOT : And you �re an ill - mannered , bad tempered <define> slattern </define> .","(dated) One who is uncareful or unconcerned about appearance or surroundings, usually said of a dirty and untidy woman.",,DM,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: ELYOT : And you �re an ill - mannered , bad tempered <define> slattern </define> .
Hypothesis: (slang) A contemptible person.
Target: (dated) One who is uncareful or unconcerned about appearance or surroundings, usually said of a dirty and untidy woman.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
48,Alternative form of lobstertail,tgt,"� Because I don&#39;t think that is a seventeenth - century helmet . � There was something odd about the smoothness of the crown . The skull of the <define> lobster - tailed pot </define> helmet was often fluted . Generally , they were made in two sections joined by a � ...","A European combat helmet, worn especially from the 1600s into the 1700s, consisting of a rounded skull-piece, often cheek guards and a nasal or face-guard, and a laminated defence (or single plate ridged to imitate lames) to protect the back of the neck that resembled a lobster's tail.",,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: � Because I don&#39;t think that is a seventeenth - century helmet . � There was something odd about the smoothness of the crown . The skull of the <define> lobster - tailed pot </define> helmet was often fluted . Generally , they were made in two sections joined by a � ...
Hypothesis: Alternative form of lobstertail
Target: A European combat helmet, worn especially from the 1600s into the 1700s, consisting of a rounded skull-piece, often cheek guards and a nasal or face-guard, and a laminated defence (or single plate ridged to imitate lames) to protect the back of the neck that resembled a lobster's tail.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
49,"(slang, derogatory) A woman.",tgt,"Because of his disappearance over the final two months last season , Reyes has been the target of Shea <define> boobirds </define> , which , as Wright remarked , is almost a � rite of passage . �",(slang) A spectator at a sporting event who boos the home team.,,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Because of his disappearance over the final two months last season , Reyes has been the target of Shea <define> boobirds </define> , which , as Wright remarked , is almost a � rite of passage . �
Hypothesis: (slang, derogatory) A woman.
Target: (slang) A spectator at a sporting event who boos the home team.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
50,The quality of being cytopathic.,tgt,"As expected , monolayers showed rapid cell rounding and <define> cytopathicity </define> in cells infected with MNV ( Fig 3 , 20 X insert in MNV infection ) .",The condition of undergoing cytopathic change (cell disease),,DM,"['Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: As expected , monolayers showed rapid cell rounding and <define> cytopathicity </define> in cells infected with MNV ( Fig 3 , 20 X insert in MNV infection ) .
Hypothesis: The quality of being cytopathic.
Target: The condition of undergoing cytopathic change (cell disease)
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
51,Alternative form of failover,tgt,"while Tungsten is not heavily redundant as these systems , the ability of Lustre to support some <define> failover </define> can be leveraged to eliminate single points of failure .","(computing, countable) An automatic switch to a secondary system on failure of the primary system, such as a means for ensuring high availability of some critical resource (such as a computer system), involving a parallel backup system which is kept running at all times, so that, upon detected failure of the primary system, processing can be automatically shifted over to the backup.",,DM,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: while Tungsten is not heavily redundant as these systems , the ability of Lustre to support some <define> failover </define> can be leveraged to eliminate single points of failure .
Hypothesis: Alternative form of failover
Target: (computing, countable) An automatic switch to a secondary system on failure of the primary system, such as a means for ensuring high availability of some critical resource (such as a computer system), involving a parallel backup system which is kept running at all times, so that, upon detected failure of the primary system, processing can be automatically shifted over to the backup.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
52,The quality of being defectible.,tgt,opposed unto mutability and <define> defectibility </define> of being,deficiency; imperfection,,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: opposed unto mutability and <define> defectibility </define> of being
Hypothesis: The quality of being defectible.
Target: deficiency; imperfection
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
53,(Internet) A person who uses cyberspace to express their political views.,tgt,"Son , the <define> cyber dissident </define> , is a businessman who holds graduate degrees in business administration and medicine .",Alternative form of cyberdissident,,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Son , the <define> cyber dissident </define> , is a businessman who holds graduate degrees in business administration and medicine .
Hypothesis: (Internet) A person who uses cyberspace to express their political views.
Target: Alternative form of cyberdissident
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
54,(zoology) A pseudostome.,tgt,"The pseudembryo moves rapidly in the water , rolling round and swinging from side to side ; as a rule , and especially when at rest , the surface bearing the pseudostome and <define> pseudoproct </define> is turned downwards .",(biology) The anal opening on the pseudembryo of an echinoderm.,,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The pseudembryo moves rapidly in the water , rolling round and swinging from side to side ; as a rule , and especially when at rest , the surface bearing the pseudostome and <define> pseudoproct </define> is turned downwards .
Hypothesis: (zoology) A pseudostome.
Target: (biology) The anal opening on the pseudembryo of an echinoderm.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
55,(countable) A newspaper article published on a specific date.,tgt,"A second Punta del Este <define> dateliner </define> , by Juan de Onis , quoted Secretary of State Dean Rusk giving the official U. S. view , which had already been reported extensively by Kenworthy and Szuie .",(journalism) An article that is published under a dateline.,,DM,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: A second Punta del Este <define> dateliner </define> , by Juan de Onis , quoted Secretary of State Dean Rusk giving the official U. S. view , which had already been reported extensively by Kenworthy and Szuie .
Hypothesis: (countable) A newspaper article published on a specific date.
Target: (journalism) An article that is published under a dateline.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
56,(uncountable) The state of being pregnant.,tgt,"But purging is more proper if it may bee done without danger , as it may in the fourth , fift and ?ixt month of <define> pregnation </define> : for a child in the wombe is compared to an Apple on the tree .",(obsolete) Pregnancy.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: But purging is more proper if it may bee done without danger , as it may in the fourth , fift and ?ixt month of <define> pregnation </define> : for a child in the wombe is compared to an Apple on the tree .
Hypothesis: (uncountable) The state of being pregnant.
Target: (obsolete) Pregnancy.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
57,(informal) A revision.,tgt,The following appear rather like <define> revamps </define> of old versions absolutely than absolutely new jokes :   [ � ],"An act of improving, renewing, renovating, or revising something; an improvement, renovation, revamping, or revision. [from mid 19th c.]",,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: The following appear rather like <define> revamps </define> of old versions absolutely than absolutely new jokes :   [ � ]
Hypothesis: (informal) A revision.
Target: An act of improving, renewing, renovating, or revising something; an improvement, renovation, revamping, or revision. [from mid 19th c.]
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
58,One who hypes something.,tgt,They did n't need to be first in sales ; they did n't have to compete with the <define> hypesters </define> . Louis junior could honestly say that the wines he made were sound .,One who uses hype to promote or advertise.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: They did n't need to be first in sales ; they did n't have to compete with the <define> hypesters </define> . Louis junior could honestly say that the wines he made were sound .
Hypothesis: One who hypes something.
Target: One who uses hype to promote or advertise.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
59,(intransitive) To ejaculate.,tgt,"With a tremendous groan , he <define> pulled out </define> and ejaculated all over her belly .",(literally) To use coitus interruptus as a method of birth control.,,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: With a tremendous groan , he <define> pulled out </define> and ejaculated all over her belly .
Hypothesis: (intransitive) To ejaculate.
Target: (literally) To use coitus interruptus as a method of birth control.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
60,(medicine) Seroclearance.,tgt,A total of 18 patients ( 22.5 % ) had persistent HBsAg positivity after transplant without <define> seroclearance </define> ( n = 8) or reappearance of HBsAg after initial seroclearance ( n = 10 ) .,The clearance (removal) of an antigen from the blood,,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: A total of 18 patients ( 22.5 % ) had persistent HBsAg positivity after transplant without <define> seroclearance </define> ( n = 8) or reappearance of HBsAg after initial seroclearance ( n = 10 ) .
Hypothesis: (medicine) Seroclearance.
Target: The clearance (removal) of an antigen from the blood
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
61,"(informal, of a person) Intoxicated.",tgt,She had never met someone so <define> sweaty </define> .,Having a tendency to sweat.,,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: She had never met someone so <define> sweaty </define> .
Hypothesis: (informal, of a person) Intoxicated.
Target: Having a tendency to sweat.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
62,(informal) The sound made by the mouth when it opens and closes.,tgt,"She was lying in the lee of a fowlhouse in a crumpled posture , as if cohesion had been detached from her joints , which lobbed her in an untidy heap , like a lot of old bones , tied together with string . Her skull was hitched under her humped shoulders and her fallen jaw made a lipless <define> O </define> of her mouth , giving it an expression of imbecile astonishment .",Something shaped like the letter O.,,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: She was lying in the lee of a fowlhouse in a crumpled posture , as if cohesion had been detached from her joints , which lobbed her in an untidy heap , like a lot of old bones , tied together with string . Her skull was hitched under her humped shoulders and her fallen jaw made a lipless <define> O </define> of her mouth , giving it an expression of imbecile astonishment .
Hypothesis: (informal) The sound made by the mouth when it opens and closes.
Target: Something shaped like the letter O.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
63,The act of maturing.,tgt,Thomas writes of <define> matrescence </define> as spiritual formation drawing analogies with the Judaeo - Christian tradition .,The process of becoming (and coming to inhabit the role of) a mother.,,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Thomas writes of <define> matrescence </define> as spiritual formation drawing analogies with the Judaeo - Christian tradition .
Hypothesis: The act of maturing.
Target: The process of becoming (and coming to inhabit the role of) a mother.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
64,Alternative form of non- belligerent,tgt,"While the United States remained a <define> non - belligerent </define> speeds continued unimpaired , despite the increasingly dense occupation of main - line tracks , but the entry of the U.S.A. into the war in December , 1941 , made its effect felt almost immediately .",Alternative form of nonbelligerent,,DM,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.2,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: While the United States remained a <define> non - belligerent </define> speeds continued unimpaired , despite the increasingly dense occupation of main - line tracks , but the entry of the U.S.A. into the war in December , 1941 , made its effect felt almost immediately .
Hypothesis: Alternative form of non- belligerent
Target: Alternative form of nonbelligerent
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
65,(idiomatic) Something that is certain to be successful.,tgt,"As long as you get the vice president 's approval first , it 'll be a <define> slam dunk </define> .","(colloquial, idiomatic) A task expected to present no difficulty, a piece of cake.",,DM,"['Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: As long as you get the vice president 's approval first , it 'll be a <define> slam dunk </define> .
Hypothesis: (idiomatic) Something that is certain to be successful.
Target: (colloquial, idiomatic) A task expected to present no difficulty, a piece of cake.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
66,(fandom slang) A person with psionic abilities.,tgt,"This particular article , published to my site kheperu.org in 2002 , was penned in response to a letter received from a <define> psivamp </define> who had stirred up trouble for himself by outing his nature to his Wiccan High Priestess .",A supposed form of vampire that subsists on the psychic energy of others.,,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.6000000000000001,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: This particular article , published to my site kheperu.org in 2002 , was penned in response to a letter received from a <define> psivamp </define> who had stirred up trouble for himself by outing his nature to his Wiccan High Priestess .
Hypothesis: (fandom slang) A person with psionic abilities.
Target: A supposed form of vampire that subsists on the psychic energy of others.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
67,(idiomatic) Perfectly suited for each other.,tgt,"Sir Georg Solti and the Chicago Symphony Orchestra may have been <define> made for each other </define> , but they were also made to play Beethoven .",(idiomatic) Compatible; interacting effectively; in a complementary relationship.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Sir Georg Solti and the Chicago Symphony Orchestra may have been <define> made for each other </define> , but they were also made to play Beethoven .
Hypothesis: (idiomatic) Perfectly suited for each other.
Target: (idiomatic) Compatible; interacting effectively; in a complementary relationship.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
68,(transitive) To act in an underhanded manner.,tgt,Maybe during the first session we can try to size up the type of anger problem she has : exploding ? <define> underhanding </define> ? somatizing ?,Devious; passive-aggressive.,,DM,"['Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Maybe during the first session we can try to size up the type of anger problem she has : exploding ? <define> underhanding </define> ? somatizing ?
Hypothesis: (transitive) To act in an underhanded manner.
Target: Devious; passive-aggressive.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
69,Resembling or characteristic of French surrealism.,tgt,"Quatermass also mediated Wellsian influence on the tone and preoccupations of the new hybrid SF � horror - film genre , with its monstrous <define> Gigeresque </define> fusions of machine and organism [ � ]","Reminiscent of H. R. Giger (born 1940), Swiss surrealist painter best known for nightmarish biomechanical imagery.",,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Quatermass also mediated Wellsian influence on the tone and preoccupations of the new hybrid SF � horror - film genre , with its monstrous <define> Gigeresque </define> fusions of machine and organism [ � ]
Hypothesis: Resembling or characteristic of French surrealism.
Target: Reminiscent of H. R. Giger (born 1940), Swiss surrealist painter best known for nightmarish biomechanical imagery.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
70,Before an election.,tgt,"At least Dr. Beeching can no longer be accused by anyone of disinterest in railways , after the king - sized squib he flung into one of the particularly combustible <define> pre - election </define> topics - transport - at the end of June .",Alternative form of preelection,,DM,"['Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination', 'Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: At least Dr. Beeching can no longer be accused by anyone of disinterest in railways , after the king - sized squib he flung into one of the particularly combustible <define> pre - election </define> topics - transport - at the end of June .
Hypothesis: Before an election.
Target: Alternative form of preelection
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
71,(transitive) To make white.,tgt,so as no fuller on earth can <define> white </define> them,(transitive) To make white; to whiten; to bleach.,,DM,"['Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: so as no fuller on earth can <define> white </define> them
Hypothesis: (transitive) To make white.
Target: (transitive) To make white; to whiten; to bleach.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
72,(zoology) Of or pertaining to a minotaur.,tgt,"Elytra <define> miniatous </define> , with a large somewhat triangular black spot on their disk ,   [ � ]","(formal) Orange-red, the colour of red lead.",,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Not Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Elytra <define> miniatous </define> , with a large somewhat triangular black spot on their disk ,   [ � ]
Hypothesis: (zoology) Of or pertaining to a minotaur.
Target: (formal) Orange-red, the colour of red lead.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
73,Alternative form of devil-may-care,tgt,"This is the sort of witchery , not easily defined � but , by its votaries , pretty sensibly felt , in hunting the fox . The light - hearted , high - spirited stripling , when cigaring it careless to cover , with a kind of a knowing demi - <define> devil - may - care </define> twist of his beaver , receives in his transit a benison from every real friend of the chase he may chance to pass ; and the airy , eager zeal of the youthful aspirant to rolls , tumbles , and the brush , will flush his memory with the frolic gayety of other days , and animate his mind with reflections most welcome to his heart .","Carefree, reckless, irresponsible.",,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Not Hallucination', 'Not Hallucination']",Not Hallucination,0.4,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: This is the sort of witchery , not easily defined � but , by its votaries , pretty sensibly felt , in hunting the fox . The light - hearted , high - spirited stripling , when cigaring it careless to cover , with a kind of a knowing demi - <define> devil - may - care </define> twist of his beaver , receives in his transit a benison from every real friend of the chase he may chance to pass ; and the airy , eager zeal of the youthful aspirant to rolls , tumbles , and the brush , will flush his memory with the frolic gayety of other days , and animate his mind with reflections most welcome to his heart .
Hypothesis: Alternative form of devil-may-care
Target: Carefree, reckless, irresponsible.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: NO"
74,"(intransitive, slang) To have sex.",tgt,Pimpin � came so naturally to MT when he and his sisters played pimp and <define> hoe </define> games that one of his sisters wanted to hoe for him when they grew up .,"(US, slang) .",,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: Pimpin � came so naturally to MT when he and his sisters played pimp and <define> hoe </define> games that one of his sisters wanted to hoe for him when they grew up .
Hypothesis: (intransitive, slang) To have sex.
Target: (US, slang) .
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
75,"(transitive, slang) To fail (an examination).",tgt,"I met one of your dons at tea , and he said that your degree was not in the least a proof of your abilities : he said that you knocked up and got <define> flurried </define> in examinations .","Agitated, confused.",,DM,"['Hallucination', 'Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,1.0,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: I met one of your dons at tea , and he said that your degree was not in the least a proof of your abilities : he said that you knocked up and got <define> flurried </define> in examinations .
Hypothesis: (transitive, slang) To fail (an examination).
Target: Agitated, confused.
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
76,"(figuratively, of a person) Having a tendency to stammer.",tgt,"And on tonight �s episode , when she faces a crisis � the reactions to her incoherent TV interviews last January � the carefully created sentences she uses to explain her slurry , <define> stumbly </define> self - presentation says it all .",prone to stumble,,DM,"['Hallucination', 'Not Hallucination', 'Hallucination', 'Hallucination', 'Hallucination']",Hallucination,0.8,"### user: For the task DM Given a source sentence, hypothesis sentence, and a target groundtruth sentence, determine if the hypothesis sentence contains a hallucination. A hallucination is defined as a statement that does not accurately reflect the information in the source and target sentences.
Source: And on tonight �s episode , when she faces a crisis � the reactions to her incoherent TV interviews last January � the carefully created sentences she uses to explain her slurry , <define> stumbly </define> self - presentation says it all .
Hypothesis: (figuratively, of a person) Having a tendency to stammer.
Target: prone to stumble
Does the hypothesis contain a hallucination compared to the source and target? ONLY answer Yes or NO.
### system: YES"
